title,,title,,category_id,introduce,
累计登岛*天,通算ログイン*日,新新岛民,移住者,1,每天都来Co岛看看，这里记录你累计打开Co岛进入首页的登岛天数哦～,ここではログインの日数が記録されますよ～
累计登岛*天,通算ログイン*日,初来乍到,島民,1,每天都来Co岛看看，这里记录你累计打开Co岛进入首页的登岛天数哦～,ここではログインの日数が記録されますよ～
累计登岛*天,通算ログイン*日,落地生根,住み馴れた,1,每天都来Co岛看看，这里记录你累计打开Co岛进入首页的登岛天数哦～,ここではログインの日数が記録されますよ～
累计登岛*天,通算ログイン*日,安居乐业,地域に根付いた,1,每天都来Co岛看看，这里记录你累计打开Co岛进入首页的登岛天数哦～,ここではログインの日数が記録されますよ～
累计自习*天,通算自習*日,始于足下,開巻第一,2,"自习加油，这里记录你累计来Co岛开启自习的天数哦～（按照北京时间零点计算天数）",ここでは勉強の日数が記録されますよ～ （0時を区切りとして集計します）
累计自习*天,通算自習*日,乘风破浪,一心不乱,2,"自习加油，这里记录你累计来Co岛开启自习的天数哦～
（按照北京时间零点计算天数）",ここでは勉強の日数が記録されますよ～ （0時を区切りとして集計します）
累计自习*天,通算自習*日,风雨兼程,孜孜不倦,2,"自习加油，这里记录你累计来Co岛开启自习的天数哦～
（按照北京时间零点计算天数）",ここでは勉強の日数が記録されますよ～ （0時を区切りとして集計します）
累计自习*天,通算自習*日,跬步千里,初志貫徹,2,"自习加油，这里记录你累计来Co岛开启自习的天数哦～
（按照北京时间零点计算天数）",ここでは勉強の日数が記録されますよ～ （0時を区切りとして集計します）
累计睡眠*天,通算睡眠：*日,云梦甜乡,仮眠をとった,3,"睡眠无忧，这里记录你累计来Co岛入睡起床的天数哦～（按照北京时间零点计算天数）","ここでは睡眠の日数が記録されますよ～（0時を区切りとして集計します）"
累计睡眠*天,通算睡眠：*日,月照梅窗,いい夢を見た,3,"睡眠无忧，这里记录你累计来Co岛入睡起床的天数哦～
（按照北京时间零点计算天数）","ここでは睡眠の日数が記録されますよ～（0時を区切りとして集計します）"
累计睡眠*天,通算睡眠：*日,庄生迷蝶,すやすや,3,"睡眠无忧，这里记录你累计来Co岛入睡起床的天数哦～
（按照北京时间零点计算天数）","ここでは睡眠の日数が記録されますよ～（0時を区切りとして集計します）"
累计睡眠*天,通算睡眠：*日,清梦星河,爆睡王,3,"睡眠无忧，这里记录你累计来Co岛入睡起床的天数哦～
（按照北京时间零点计算天数）","ここでは睡眠の日数が記録されますよ～（0時を区切りとして集計します）"
累计获得余香*枚,通算でもらったお花の数：*輪,手留余香,花紅柳緑,4,"给人温暖，手留余香。
余香获得方式：
给别人加油/好梦获得，每送出一份温暖，可获得1枚余香。（给今天刚注册的新伙伴送温暖，会获得2枚哦）","礼には礼をもって返す。
お花の入手方法：
応援/良い夢を送ると、お返しにお花がもらえます。（今日初回ログインの新規ユーザーに送ると、2輪のお花がもらえます。）"
累计获得余香*枚,通算でもらったお花の数：*輪,与人为善,風花雪月,4,"给人温暖，手留余香。
余香获得方式：
给别人加油/好梦获得，每送出一份温暖，可获得1枚余香。（给今天刚注册的新伙伴送温暖，会获得2枚哦）","礼には礼をもって返す。
お花の入手方法：
応援/良い夢を送ると、お返しにお花がもらえます。（今日初回ログインの新規ユーザーに送ると、2輪のお花がもらえます。）"
累计获得余香*枚,通算でもらったお花の数：*輪,助人为乐,錦上添花,4,"给人温暖，手留余香。
余香获得方式：
给别人加油/好梦获得，每送出一份温暖，可获得1枚余香。（给今天刚注册的新伙伴送温暖，会获得2枚哦）","礼には礼をもって返す。
お花の入手方法：
応援/良い夢を送ると、お返しにお花がもらえます。（今日初回ログインの新規ユーザーに送ると、2輪のお花がもらえます。）"
累计获得余香*枚,,乐善好施,百花繚乱,4,"给人温暖，手留余香。
余香获得方式：
给别人加油/好梦获得，每送出一份温暖，可获得1枚余香。（给今天刚注册的新伙伴送温暖，会获得2枚哦）","礼には礼をもって返す。
お花の入手方法：
応援/良い夢を送ると、お返しにお花がもらえます。（今日初回ログインの新規ユーザーに送ると、2輪のお花がもらえます。）"
累计专注*小时,通算学習時間：*時間,学而时习,温故知新,5,每一分每一秒的努力都很重要，这里记录你累计专注时长，只计算专注不算小休哦～,"1秒でさえ無駄にできないです。ここで記録された学習時間には休憩時間は含まれていません。"
累计专注*小时,通算学習時間：*時間,朝乾夕惕,読書百遍,5,每一分每一秒的努力都很重要，这里记录你累计专注时长，只计算专注不算小休哦～,"1秒でさえ無駄にできないです。ここで記録された学習時間には休憩時間は含まれていません。"
累计专注*小时,通算学習時間：*時間,含英咀华,日進月歩,5,每一分每一秒的努力都很重要，这里记录你累计专注时长，只计算专注不算小休哦～,"1秒でさえ無駄にできないです。ここで記録された学習時間には休憩時間は含まれていません。"
累计专注*小时,通算学習時間：*時間,浩如烟海,一生懸命,5,每一分每一秒的努力都很重要，这里记录你累计专注时长，只计算专注不算小休哦～,"1秒でさえ無駄にできないです。ここで記録された学習時間には休憩時間は含まれていません。"
累计收到祝福*个,通算祝福を受けた回数：*回,满腔热忱,善隣友好,6,"Co岛生活，祝福多多。祝福包括自习时收获的加油、睡眠时收获的好梦和Co集市收获的拍灯。","Co島での勉強中にもらった応援、睡眠中にもらった良い夢、店舗でもらったいいねの合計回数です。"
累计收到祝福*个,通算祝福を受けた回数：*回,志盈心满,相互扶助,6,"Co岛生活，祝福多多。
祝福包括自习时收获的加油、睡眠时收获的好梦和Co集市收获的拍灯。","Co島での勉強中にもらった応援、睡眠中にもらった良い夢、店舗でもらったいいねの合計回数です。"
累计收到祝福*个,通算祝福を受けた回数：*回,金玉满堂,益者三友,6,"Co岛生活，祝福多多。
祝福包括自习时收获的加油、睡眠时收获的好梦和Co集市收获的拍灯。","Co島での勉強中にもらった応援、睡眠中にもらった良い夢、店舗でもらったいいねの合計回数です。"
累计收到祝福*个,通算祝福を受けた回数：*回,琳琅满目,合縁奇縁,6,"Co岛生活，祝福多多。
祝福包括自习时收获的加油、睡眠时收获的好梦和Co集市收获的拍灯。","Co島での勉強中にもらった応援、睡眠中にもらった良い夢、店舗でもらったいいねの合計回数です。"
准时入睡起床*天,計画通り就寝・起床日数：*日,晨光熹微,早起きは三文の得,7,"规律睡眠身体好，这里记录你按照预订计划准时入睡起床的天数哦～（中间如果偷偷溜出寝室，将不会纳入计算）","早寝早起きは体にいいですね～。ここでは、予定通りの就寝と起床の日数が記録されます～（途中でこっそり寝室を抜け出すとカウントされません）"
准时入睡起床*天,計画通り就寝・起床日数：*日,东曦既驾,早寝早起,7,"规律睡眠身体好，这里记录你按照预订计划准时入睡起床的天数哦～
（中间如果偷偷溜出寝室，将不会纳入计算）","早寝早起きは体にいいですね～。ここでは、予定通りの就寝と起床の日数が記録されます～（途中でこっそり寝室を抜け出すとカウントされません）"
准时入睡起床*天,計画通り就寝・起床日数：*日,旭日东升,旭日東天,7,"规律睡眠身体好，这里记录你按照预订计划准时入睡起床的天数哦～
（中间如果偷偷溜出寝室，将不会纳入计算）","早寝早起きは体にいいですね～。ここでは、予定通りの就寝と起床の日数が記録されます～（途中でこっそり寝室を抜け出すとカウントされません）"
准时入睡起床*天,計画通り就寝・起床日数：*日,霞光万道,健康第一,7,"规律睡眠身体好，这里记录你按照预订计划准时入睡起床的天数哦～
（中间如果偷偷溜出寝室，将不会纳入计算）","早寝早起きは体にいいですね～。ここでは、予定通りの就寝と起床の日数が記録されます～（途中でこっそり寝室を抜け出すとカウントされません）"
累计深度专注*小时,通算全集中コースでの学習時間：*時間,深入浅出,簡単明瞭,8,深度专注更加全神贯注，这里记录你累计深度模式的专注时长～,ここでは、全集中コースでの学習時間が記録されます～
累计深度专注*小时,通算全集中コースでの学習時間：*時間,深知灼见,一意専心,8,深度专注更加全神贯注，这里记录你累计深度模式的专注时长～,ここでは、全集中コースでの学習時間が記録されます～
累计深度专注*小时,通算全集中コースでの学習時間：*時間,深谋远虑,心身一如,8,深度专注更加全神贯注，这里记录你累计深度模式的专注时长～,ここでは、全集中コースでの学習時間が記録されます～
累计深度专注*小时,通算全集中コースでの学習時間：*時間,深不可测,明鏡止水,8,深度专注更加全神贯注，这里记录你累计深度模式的专注时长～,ここでは、全集中コースでの学習時間が記録されます～
累计邀请*人注册,招待した人数：*人,一心为岛,誠心誠意,9,"Co岛的壮大离不开你的分享，感谢你让更多的人了解并知道Co岛。这里记录你邀请登岛注册的人数，记得对方要填写你的邀请码才会计算哦～","たくさんの人にアプリを知ってもらい、ありがとうございます。ここでは、あなたの招待より登録した人数が記録されます。あなたの招待コードを入力したユーザーだけカウントされます。"
累计邀请*人注册,招待した人数：*人,建岛立业,意気投合,9,"Co岛的壮大离不开你的分享，感谢你让更多的人了解并知道Co岛。
这里记录你邀请登岛注册的人数，记得对方要填写你的邀请码才会计算哦～","たくさんの人にアプリを知ってもらい、ありがとうございます。ここでは、あなたの招待より登録した人数が記録されます。あなたの招待コードを入力したユーザーだけカウントされます。"
累计邀请*人注册,招待した人数：*人,大有作为,前程万里,9,"Co岛的壮大离不开你的分享，感谢你让更多的人了解并知道Co岛。
这里记录你邀请登岛注册的人数，记得对方要填写你的邀请码才会计算哦～","たくさんの人にアプリを知ってもらい、ありがとうございます。ここでは、あなたの招待より登録した人数が記録されます。あなたの招待コードを入力したユーザーだけカウントされます。"
累计邀请*人注册,招待した人数：*人,殊勋茂绩,四海兄弟,9,"Co岛的壮大离不开你的分享，感谢你让更多的人了解并知道Co岛。
这里记录你邀请登岛注册的人数，记得对方要填写你的邀请码才会计算哦～","たくさんの人にアプリを知ってもらい、ありがとうございます。ここでは、あなたの招待より登録した人数が記録されます。あなたの招待コードを入力したユーザーだけカウントされます。"
成功专注*次,計画通り勉強した回数：*回,一心一意,一心一意,10,"每一次的成功专注都是对自律者的奖赏，这里记录你累计成功专注的次数哦～（成功专注指小休期主动结束自习，小休迟到，专注期溜号，超过专注计划3h被判断为刷时间的情况将不纳入计算）
","努力は必ず报われます。ここでは、計画通り勉強した回数が記録されます～（遅刻と勉強途中で諦めることと、3時間以上超えた勉強はカウントされません。）"
成功专注*次,計画通り勉強した回数：*回,全神贯注,精神統一,10,"每一次的成功专注都是对自律者的奖赏，这里记录你累计成功专注的次数哦～
（成功专注指小休期主动结束自习，小休迟到，专注期溜号，超过专注计划3h被判断为刷时间的情况将不纳入计算）
","努力は必ず报われます。ここでは、計画通り勉強した回数が記録されます～（遅刻と勉強途中で諦めることと、3時間以上超えた勉強はカウントされません。）"
成功专注*次,計画通り勉強した回数：*回,心无旁骛,無我夢中,10,"每一次的成功专注都是对自律者的奖赏，这里记录你累计成功专注的次数哦～
（成功专注指小休期主动结束自习，小休迟到，专注期溜号，超过专注计划3h被判断为刷时间的情况将不纳入计算）
","努力は必ず报われます。ここでは、計画通り勉強した回数が記録されます～（遅刻と勉強途中で諦めることと、3時間以上超えた勉強はカウントされません。）"
成功专注*次,計画通り勉強した回数：*回,孜孜不倦,一球入魂,10,"每一次的成功专注都是对自律者的奖赏，这里记录你累计成功专注的次数哦～
（成功专注指小休期主动结束自习，小休迟到，专注期溜号，超过专注计划3h被判断为刷时间的情况将不纳入计算）
","努力は必ず报われます。ここでは、計画通り勉強した回数が記録されます～（遅刻と勉強途中で諦めることと、3時間以上超えた勉強はカウントされません。）"
累计CoWall砌砖*块,CoWallでの投稿：*回,添砖加瓦,愚公移山,11,CoWall被所有人一同建立，这里记录你在所有空间发出的累计CoWall动态次数哦～,CoWallは一つ一つしっかりとレンガを積み上げて作り上げたものです。ここでは、すべての空間で投稿した回数が記録されます～
累计CoWall砌砖*块,CoWallでの投稿：*回,积砖成墙,言笑自若,11,CoWall被所有人一同建立，这里记录你在所有空间发出的累计CoWall动态次数哦～,CoWallは一つ一つしっかりとレンガを積み上げて作り上げたものです。ここでは、すべての空間で投稿した回数が記録されます～
累计CoWall砌砖*块,CoWallでの投稿：*回,金墙花壁,積水成淵,11,CoWall被所有人一同建立，这里记录你在所有空间发出的累计CoWall动态次数哦～,CoWallは一つ一つしっかりとレンガを積み上げて作り上げたものです。ここでは、すべての空間で投稿した回数が記録されます～
累计CoWall砌砖*块,CoWallでの投稿：*回,雕墙峻宇,積土成山,11,CoWall被所有人一同建立，这里记录你在所有空间发出的累计CoWall动态次数哦～,CoWallは一つ一つしっかりとレンガを積み上げて作り上げたものです。ここでは、すべての空間で投稿した回数が記録されます～
主理人空间累计*人天,マイスペースの累計利用者数：*人/日,白手起家,白手起家,12,"成为主理人，来创建管理专属于你的空间吧！
这里记录你名下所有空间，累计被访问的人数*天数，同一人一天多次访问只算做一次哦～
（访问定义：自习室开始专注、寝室预订床位、Co集市进行点单）","オーナーになって、スペースを作成して経営しましょう！
ここでは、あなたのすべてのスペースが記録され、利用人数×日数が表示されます。同じ人が一日に複数回訪れても、一人日としてカウントされます。
（訪問とは自習室での勉強、寮室でのベッド予約、Co市場の店舗での注文を指しています。）"
