固有名词,译文,check
涂改,直す,T
好梦卡,良い夢カード,T
睡眠券,睡眠チケット,T
加油卡,応援カード,T
自习券,自習チケット,T
此刻,モーメンツ,T
小纸条,メッセージ,T
纸条,メッセージ,T
个人账本,家計簿,T
任意门,勝手口ドア,T
经营账本,投げ銭の収益,T
新手引导,ガイド,T
入睡时间,就寝時刻,T
晚安寄语,晚安寄语,T
公约,利用ルール,T
离线,オフライン,T
在线,オンライン,T
休闲中,休憩,T
入睡中,寝ている,T
自习中,自習中,T
自习中,勉強中,T
年度报告,年間利用レポート,T
接待处,受付,T
拜访,訪問,T
装修,デコレーション,T
装扮,デコレーション,T
帰宅,帰宅,T
专属床位VIP,VIP専用ベッド,T
专属位置,VIP専用席,T
好梦,良い夢,T
寝室,寮,T
寝室,寮室,T
双币福利,スーパーコイン特典,T
睡眠报告,睡眠レポート,T
睡眠时长,睡眠時間,T
睡眠计划,睡眠計画,T
早睡早起,早寝早起き,T
清空,クリア,T
休眠模式,スリープモード,T
自习报告,自習レポート,T
专注计划,学習計画,T
歇业中,休業中,T
进货单,仕入れリスト,T
去开店,店舗を開業する,T
登录,ログイン,T
通讯录,連絡先,T
徽章,バッジ,T
通讯录,連絡先,T
衣橱,クローゼット,T
传纸条,メッセージを送る,T
分享,シェア,T
分享,投稿,T
设置,設定,T
回关,フォローバックする,T
回关,フォロバッ,T
榜,ランキング,T
排行榜,ランキング,T
督,済,T
竖,縦,T
收银台,レジ,T
森林,森,T
co币,コイン,T
Co币,コイン,T
co钻,ダイヤ,T
Co钻,ダイヤ,T
岛民证,島民カード,T
云梦楼,おやすみ館,T
甜乡堡,おやすみ城,T
甜乡,おやすみ城,T
云梦,おやすみ館,T
公共寝室,集合寮,T
专属寝室,個室寮,T
打折区,セール,T
折扣区,セール,T
重新选择,選択直してしてください,T
24h营业,24時間営業,T
微博,Weibo,T
总计,合計,T
迟到,遅刻,T
自习,自習,T
自习,学習,T
自习,勉強,T
确定,確認,T
预定,予約,T
首页,ホームページ,T
床,ベッド,T
床位,ベッド,T
我的床,マイベッド,T
我的床位,マイベッド,T
收藏,お気に入り,T
跳过,スキップ,T
放弃,諦める,T
上新,新着,T
必胜,必勝,T
备考目标,長期の学習目標,T
计划目标,学習目標,T
暂停,一時停止,T
播放,再生,T
周一,月曜日,T
星期一,月曜日,T
自习室,自習室,T
接待处,受付,T
清空,クリア,T
撤销,取り消し,T
左滑,左スワイプ,T
编辑,編集,T
右滑,右スワイプ,T
菜单,メニュー,T
衣橱,クローゼット,T
关注,フォローする,T
关注,フォロー,T
通讯录,連絡先,T
备注,表示名,T
已关注,フォロー中,T
已关注,フォロイー,T
群昵称,グループ内のプロフィール,T
拍灯,いいね,T
恢复,元に戻す,T
男寝,男子寮,T
女寝,女子寮,T
混合寝,男女共用寮,T
桌子,席,T
座位,席,T
days,days,
反馈,フィードバック,T
综合自习楼,総合学習室,T
专属教室楼,専用学習室,T
自习楼,学習室,T
自习楼,自習室,T
心愿单,欲しいものリスト,T
逢君,君に逢う,T
如故,故の如し,T
居民,住民,T
话题,トピック,T
晴,晴れ,T
保密,ひみつ,T
主理人,オーナー,T
订单,オーダー,T
订单,注文,T
支付宝,Alipay,T
微信,WeChat,T
更新,アップデート,T
更新,更新する,T
拉黑,ブロック,T
取消,キャンセル,T
取消,取り消し,T
资料,プロフィール,T
隐私,プライバシー,T
购买,購入する,T
二维码,QRコード,T
条码,バーコード,T
识别码,招待コード,T
专属空间,個人スペース,T
确认,確認,T
确认,確定,T
确定,確定,T
管理员,管理者,T
人员管理员,管理者,T
动态,活動記録,T
此刻,モーメンツ,T
砖,レンガ,T
会员,プレミアム会員,T
款式标签,服カテゴリー,T
风格标签,ファッション種類,T
口令,合言葉,T
续期,期限延長,T
待办,todoリスト,T
待办,タスク,T
店铺名称,お店の名前,T
店铺名称,店铺名,T
用户服务协议,利用規約,T
隐私条款,プライバシーポリシー,T
Co伴,友だち,T
请求超时,接続がタイムアウトしました,T
专注目标,学習目標,T
专注目标,勉強目標,Na
专注时间,勉強時間,T
放映厅,映画館,T
报到时间,登録日,T
课表教室,固定時間割教室,T
教室,教室,T
专属教室,専用教室,T
专属寝室,専用寮室,T
店铺,店舗,T
所属行业,業種,T
置顶,ピン留め,T
取消置顶,ピン留め解除,T
行业,業種,T
包裹,バッグ,T
自由中,フリーランス,T
自由中,フリーター,T
不再提示,次回以後は表示しない,T
套装,コーデ,T
套装,コーディネート,T
人设,キャラクター,T
人设报告,キャラクター詳細,T
成衣铺,アパレルショップ,T
一键选位,自動マッチング,T
小卖部,購買部,T
自习小结,学習サマリー,T
睡眠小结,睡眠サマリー,T
轻度模式,お気軽コース,T
深度模式,全集中コース,T
正常模式,フリーモード,T
严格模式,一部制限付きモード,T
极严模式,完全制限モード,T
独立密码,第2パスワード,T
人设馆,キャラクターショップ,T
食品工厂,食品工場,T
Na,Na,Na
查看,表示,Na
起床中,目を覚ました,Na
风格标签,スタイルラベル,F
款式标签,スタイルラベル,F
刷新,リフレッシュ,Na
装修空间,スペースのリフォーム,Na
空间,スペース,Na
装修家,家のリフォーム,Na
工具,ツール,Na
礼金,キャンペーン,Na
活动,キャンペーン,Na
回家,帰宅,Na
群,グループ,T
群,グループチャット,T
休息,休憩,Na
休息,休み,Na
课表,時間割,Na
更多,その他,Na
包厢,ボックス,Na
空座位,空席,Na
Co岛,Co島,Na
标签,タブ,T
签,ラベル,Na
小卖部,売店,Na
门票,入場料,Na
门票价格,入場料,T
门票,入場券,T
门票,チケット,Na
Co我可见,Co我,Na
专注表现,集中パフォーマンス,Na
我的,マイページ,Na
结束自习,自習終わり,Na
离开教室,教室から退出する,Na
离开教室,退室する,Na
会员,VIP,F
兑换站，引換所,F
co币,co貨幣,F
co币,Coコイン,F
co币,Co通貨,F
co币,coドル,F
Co币,co貨幣,F
Co币,Coコイン,F
Co币,Co通貨,F
Co币,coドル,F
co钻,Coドリル,F
Co钻,Coドリル,F
人设,キャラクタ,F
成衣铺,既製服屋,F
赞助箱,スポンサーボックス,F
赞助箱,投げ銭箱,T
人设馆,人設館,F
登岛,登島,F
口令,パスワード,F
教室,ルーム,F
寝室,寝室,F
专注计划,学習目標,F
专属座位,専属席,F
专注时长,集中時間,F
我CO小伙伴,私のCO仲間,F
互CO小伙伴,CO仲間,F
Co伴,パートナー,F
拉黑,黒,F
重新选择,再度選択し直してください,F
24h营业,24 h営業,F
保持歇业,休業を保つ,F
围观,囲まれて見る,F
封号,暗号化,F
加油,給油,F
动态,動き,F
福利,福利厚生,F
举报,通報,Na
验证,検証,F
心愿单,請求書,F
流量,流量,F
二维码,2次元コード,F
会员,会員,F
赞助,協賛,F
续费,継続料金,F
绑定,Na,Na
小休,Na,Na
目标,目標,Na
计划目标,計画目標,Na
货币标签,Na,Na
独立密码,Na,Na
卧谈会,Na,Na
公告栏,掲示板,Na


